"Source";"Target";"Type";"Year"
34022;30596;"Directed";1989
34022;18549;"Directed";1989
34022;32018;"Directed";1989
34022;21449;"Directed";1989
34022;33847;"Directed";1989
34022;7903;"Directed";1989
34022;3247;"Directed";1989
34022;18252;"Directed";1989
34022;11694;"Directed";1989
34022;1225;"Directed";1989
34022;8547;"Directed";1989
34022;19153;"Directed";1989
34022;2687;"Directed";1989
34022;2704;"Directed";1989
34022;14338;"Directed";1989
34022;9697;"Directed";1989
34022;33573;"Directed";1989
34022;2410;"Directed";1989
34022;12718;"Directed";1989
34022;8219;"Directed";1989
34022;33579;"Directed";1989
34022;20985;"Directed";1989
34022;29466;"Directed";1989
34022;7372;"Directed";1989
34022;23529;"Directed";1989
34022;12593;"Directed";1989
34022;37151;"Directed";1989
34022;15863;"Directed";1989
34022;11137;"Directed";1989
34022;34986;"Directed";1989
34022;22428;"Directed";1989
34022;16179;"Directed";1989
34022;18003;"Directed";1989
34022;7685;"Directed";1989
34022;15976;"Directed";1989
34022;14203;"Directed";1989
34022;20219;"Directed";1989
34022;2466;"Directed";1989
34022;15283;"Directed";1989
34022;9196;"Directed";1989
34022;12938;"Directed";1989
34022;36723;"Directed";1989
34022;4179;"Directed";1989
34022;13233;"Directed";1989
34022;25907;"Directed";1989
34022;28347;"Directed";1989
34022;18687;"Directed";1989
34022;10939;"Directed";1989
34022;31622;"Directed";1989
34022;141;"Directed";1989
34022;11195;"Directed";1989
34022;2516;"Directed";1989
34022;33092;"Directed";1989
34022;30321;"Directed";1989
34022;36069;"Directed";1989
34022;738;"Directed";1989
34022;31321;"Directed";1989
34022;2231;"Directed";1989
34022;28379;"Directed";1989
34022;12853;"Directed";1989
34022;3977;"Directed";1989
34022;35194;"Directed";1989
34022;3689;"Directed";1989
34022;18907;"Directed";1989
34022;2444;"Directed";1989
34022;25074;"Directed";1989
34022;8958;"Directed";1989
34022;19324;"Directed";1989
34022;30367;"Directed";1989
34022;2562;"Directed";1989
34022;20479;"Directed";1989
34022;29598;"Directed";1989
34022;10409;"Directed";1989
34022;35814;"Directed";1989
34022;1971;"Directed";1989
34022;6337;"Directed";1989
34022;28711;"Directed";1989
34022;8091;"Directed";1989
34022;21667;"Directed";1989
34022;22828;"Directed";1989
34022;1113;"Directed";1989
34022;14795;"Directed";1989
34022;30515;"Directed";1989
34022;934;"Directed";1989
34022;33163;"Directed";1989
34022;29323;"Directed";1989
34022;23282;"Directed";1989
34022;4908;"Directed";1989
34022;19361;"Directed";1989
34022;32570;"Directed";1989
34022;19367;"Directed";1989
